Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,Expected_Mortality_Rate
Rio Grande do Norte,Brazil,2021-04-01 04:27:05,-5.4026,-36.9541,197809,4548,142776.0,48978.0,"Rio Grande do Norte, Brazil",5596.499197428578,2.296431792358135,0.0229918760015975
Rio Grande do Sul,Brazil,2021-04-01 04:27:05,-30.0346,-51.2177,845380,19736,801198.0,24446.0,"Rio Grande do Sul, Brazil",7430.44951415717,2.334571435330857,0.02334571435330857
Rio de Janeiro,Brazil,2021-04-01 04:27:05,-22.9068,-43.1729,647875,36727,599767.0,11381.0,"Rio de Janeiro, Brazil",3752.5464173267183,5.668840439899672,0.05668840439899672
Rondonia,Brazil,2021-04-01 04:27:05,-11.5057,-63.5806,187270,4143,164607.0,18520.0,"Rondonia, Brazil",10537.21391495168,2.21231377155978,0.0221231377155978
Roraima,Brazil,2021-04-01 04:27:05,-2.7376,-62.0751,89853,1346,84118.0,4066.0,"Roraima, Brazil",14778.930964522311,1.4979056129572743,0.014980022926335237
Santa Catarina,Brazil,2021-04-01 04:27:05,-27.2423,-50.2189,806929,10885,769659.0,26385.0,"Santa Catarina, Brazil",11262.426745913486,1.3489414806011433,0.013489414806011433
Sao Paulo,Brazil,2021-04-01 04:27:05,-23.5505,-46.6333,2469849,74652,2120478.0,274719.0,"Sao Paulo, Brazil",5378.702420426869,3.022532956468189,0.03022532956468189
Sergipe,Brazil,2021-04-01 04:27:05,-10.5741,-37.3857,174600,3501,158658.0,12441.0,"Sergipe, Brazil",7595.610728865409,2.0051546391752577,0.020051546391752578
Tocantins,Brazil,2021-04-01 04:27:05,-10.1753,-48.2982,141913,2057,121515.0,17428.0,"Tocantins, Brazil",8962.937720060068,1.4413903174321687,0.014494796107474298
,Brunei,2021-04-01 04:27:05,4.5353,114.7277,212,3,194.0,15.0,Brunei,48.4590258364325,1.4150943396226414,0.014150943396226415
,Bulgaria,2021-04-01 04:27:05,42.7339,25.4858,342633,13197,259561.0,69875.0,Bulgaria,4931.074506598239,3.851643011618846,0.03851643011618846
,Burkina Faso,2021-04-01 04:27:05,12.2383,-1.5616,12717,146,12385.0,186.0,Burkina Faso,60.83734809439936,1.1480695132499803,0.011480695132499804
,Myanmar,2021-04-01 04:27:05,21.9162,95.956,142434,3206,131800.0,7428.0,"nan, Myanmar",261.78007584443344,2.250867068256175,0.022508670682561748
,Burundi,2021-04-01 04:27:05,-3.3731,29.9189,2810,6,773.0,2031.0,Burundi,23.631753036238745,0.2135231316725978,0.002135231316725979
,Cape Verde,2021-04-01 04:27:05,16.5388,-23.0418,17470,168,16277.0,1025.0,"nan, Cape Verde",3142.15414721181,0.961648540354894,0.009616485403548942
,Cambodia,2021-04-01 04:27:05,11.55,104.9167,2440,11,1191.0,1238.0,Cambodia,14.594199607140894,0.4508196721311475,0.004508196721311476
,Cameroon,2021-04-01 04:27:05,3.848,11.5021,47669,721,35261.0,11687.0,Cameroon,179.57223015984712,1.5125133734712286,0.015125133734712286
Alberta,Canada,2021-04-01 04:27:05,53.9333,-116.5765,148332,1990,137992.0,8350.0,"Alberta, Canada",3338.6459545713487,1.3415850928997115,0.013415850928997115
British Columbia,Canada,2021-04-01 04:27:05,53.7267,-127.6476,100048,1458,91066.0,7524.0,"British Columbia, Canada",1918.53770179326,1.457300495762034,0.014573004957620343
Diamond Princess,Canada,2020-12-21 13:27:30,,,0,1,0.0,0.0,"Diamond Princess, Canada",,,inf
Grand Princess,Canada,2020-12-21 13:27:30,,,13,0,13.0,0.0,"Grand Princess, Canada",,0.0,0.0
Manitoba,Canada,2021-04-01 04:27:05,53.7609,-98.8139,34122,935,32006.0,1181.0,"Manitoba, Canada",2465.881128659852,2.740167633784655,0.02740167633784655
New Brunswick,Canada,2021-04-01 04:27:05,46.5653,-66.4619,1613,30,1447.0,136.0,"New Brunswick, Canada",204.37771231271185,1.8598884066955983,0.018598884066955982
Newfoundland and Labrador,Canada,2021-04-01 04:27:05,53.1355,-57.6604,1019,6,1006.0,7.0,"Newfoundland and Labrador, Canada",195.7533622897188,0.5888125613346418,0.005888125613346418
Northwest Territories,Canada,2021-04-01 04:27:05,64.8255,-124.8457,47,0,47.0,0.0,"Northwest Territories,Canada",103.28762306610408,0.0,0.0
Nova Scotia,Canada,2021-04-01 04:27:05,44.682,-63.7443,1716,66,1627.0,23.0,"Nova Scotia, Canada",172.97428065984244,3.8461538461538463,0.038461538461538464
Nunavut,Canada,2021-04-01 04:27:05,70.2998,-83.1076,395,4,391.0,0.0,"Nunavut, Canada",1002.4617414917644,1.0126582278481011,0.010126582278481013
Ontario,Canada,2021-04-01 04:27:05,51.2538,-85.3232,356576,7366,329652.0,19558.0,"Ontario, Canada",2405.0273986535794,2.065758772323432,0.020657587723234318
Prince Edward Island,Canada,2021-04-01 04:27:05,46.5107,-63.4168,159,0,145.0,14.0,"Prince Edward Island, Canada",96.7635925461605,0.0,0.0
Quebec,Canada,2021-04-01 04:27:05,52.9399,-73.5491,311776,10667,291906.0,9203.0,"Quebec, Canada",3623.408462669802,3.4213666221902903,0.0342136662219029
Repatriated Travellers,Canada,2021-04-01 04:27:05,,,13,0,13.0,0.0,"Repatriated Travellers, Canada",,0.0,0.0
Saskatchewan,Canada,2021-04-01 04:27:05,52.9399,-106.4509,33590,436,31199.0,1955.0,"Saskatchewan, Canada",2846.9865507643385,1.2980053587377196,0.012980053587377196
Yukon,Canada,2021-04-01 04:27:05,64.2823,-135.0,74,1,71.0,2.0,"Yukon, Canada",172.1490717908156,1.351351351351351,0.013513513513513514
,Central African Republic,2021-04-01 04:27:05,6.6111,20.9394,5161,67,4957.0,137.0,Central African Republic,106.85822330035174,1.2981980236388295,0.012981980236388297
,Chad,2021-04-01 04:27:05,15.4542,18.7322,4533,164,4140.0,229.0,Chad,27.596730253194064,3.617913081844253,0.03617913081844253
Antofagasta,Chile,2021-04-01 04:27:05,-23.6509,-70.3975,43243,867,41196.0,1180.0,"Antofagasta, Chile",7117.790938449535,2.0049487778368755,0.020049487778368753
Araucania,Chile,2021-04-01 04:27:05,-38.9489,-72.3311,54915,671,51266.0,2978.0,"Araucania, Chile",5736.90170743734,1.221888372939998,0.012218883729399981
Arica y Parinacota,Chile,2021-04-01 04:27:05,-18.594,-69.4785,17399,350,16499.0,550.0,"Arica y Parinacota, Chile",7696.356848381903,2.011609862635784,0.020116098626357836
Atacama,Chile,2021-04-01 04:27:05,-27.5661,-70.0503,14282,170,13602.0,510.0,"Atacama, Chile",4942.826291599757,1.1903094804649208,0.01190309480464921
Aysen,Chile,2021-04-01 04:27:05,-45.9864,-73.7669,3531,28,3386.0,117.0,"Aysen, Chile",3422.9046705054384,0.7929764939110734,0.007929764939110734
Biobio,Chile,2021-04-01 04:27:05,-37.4464,-72.1416,95470,1557,89123.0,4790.0,"Biobio, Chile",6132.431486281198,1.6308788100974128,0.01630878810097413
Coquimbo,Chile,2021-04-01 04:27:05,-29.959,-71.3389,26875,508,25259.0,1108.0,"Coquimbo, Chile",3547.4520384484404,1.890232558139535,0.01890232558139535
Los Lagos,Chile,2021-04-01 04:27:05,-41.9198,-72.1416,60819,794,58420.0,1605.0,"Los Lagos, Chile",7339.014465891484,1.3055130797941432,0.013055130797941433
Los Rios,Chile,2021-04-01 04:27:05,-40.231,-72.3311,27478,304,25542.0,1632.0,"Los Rios, Chile",7140.16583644504,1.106339617148264,0.01106339617148264
Magallanes,Chile,2021-04-01 04:27:05,-52.368,-70.9863,23107,345,22476.0,286.0,"Magallanes, Chile",13875.32801306648,1.4930540528844074,0.014930540528844074
Maule,Chile,2021-04-01 04:27:05,-35.5183,-71.6885,54132,989,49997.0,3146.0,"Maule, Chile",5180.343557107995,1.827015443730141,0.01827015443730141
Metropolitana,Chile,2021-04-01 04:27:05,-33.4376,-70.6505,419769,12868,392112.0,14789.0,"Metropolitana, Chile",5901.593294800028,3.065495546360022,0.03065495546360022
Nuble,Chile,2021-04-01 04:27:05,-36.7226,-71.7622,21360,403,19910.0,1047.0,"Nuble, Chile",4444.361216706304,1.886704119850188,0.018867041198501872
OHiggins,Chile,2021-04-01 04:27:05,-34.5755,-71.0022,38436,890,35429.0,2117.0,"OHiggins, Chile",4202.699673611756,2.315537516911229,0.02315537516911229
Tarapaca,Chile,2021-04-01 04:27:05,-19.9232,-69.5132,28766,509,27204.0,1053.0,"Tarapaca, Chile",8702.254974921194,1.7694500451922408,0.017694500451922408
Unknown,Chile,2021-04-01 04:27:05,,,46,1,46.0,0.0,"Unknown, Chile",,2.1739130434782608,0.021739130434782608
Valparaiso,Chile,2021-04-01 04:27:05,-33.0472,-71.6127,65910,1881,59803.0,4226.0,"Valparaiso, Chile",3629.601156890625,2.853891670459718,0.028538916704597177
Anhui,China,2021-04-01 04:27:05,31.8257,117.2264,994,6,988.0,0.0,"Anhui, China",1.6287826941871515,0.6036217303822937,0.006036217303822937
Beijing,China,2021-04-01 04:27:05,40.1824,116.4142,1049,9,1037.0,3.0,"Beijing, China",4.791465071521409,0.8579599618684461,0.008579599618684462
Chongqing,China,2021-04-01 04:27:05,30.0572,107.874,591,6,585.0,0.0,"Chongqing, China",1.8437545031207965,1.015228426395939,0.01015228426395939
Fujian,China,2021-04-01 04:27:05,26.0789,117.9874,561,1,550.0,10.0,"Fujian, China",1.3505027408946626,0.17825311942959,0.0017825311942959
Gansu,China,2021-04-01 04:27:05,35.7518,104.2861,193,2,186.0,5.0,"Gansu, China",0.7713881041003035,1.0362694300518134,0.010362694300518135
Guangdong,China,2021-04-01 04:27:05,23.3417,113.4244,2282,8,2235.0,39.0,"Guangdong, China",1.8109313115023264,0.35056967572305,0.0035056967572304996
Guangxi,China,2021-04-01 04:27:05,23.8298,108.7881,267,2,265.0,0.0,"Guangxi, China",0.5326491591205376,0.7490636704119851,0.00749063670411985
Guizhou,China,2021-04-01 04:27:05,26.8154,106.8748,147,2,145.0,0.0,"Guizhou, China",0.3812028313360552,1.3605442176870748,0.013605442176870748
Hainan,China,2021-04-01 04:27:05,19.1959,109.7453,171,6,165.0,0.0,"Hainan, China",1.696221255497344,3.508771929824561,0.03508771929824561
Hebei,China,2021-04-01 04:27:05,37.8957,114.9042,1317,7,1310.0,0.0,"Hebei, China",1.7651733706508228,0.5315110098709187,0.005315110098709187
Heilongjiang,China,2021-04-01 04:27:05,47.862,127.7615,1610,13,1597.0,0.0,"Heilongjiang, China",5.054931088416459,0.8074534161490683,0.008074534161490683
Henan,China,2021-04-01 04:27:05,33.882,113.614,1311,22,1283.0,6.0,"Henan, China",1.3193711593253994,1.6781083142639206,0.016781083142639208
Hong Kong,China,2021-04-01 04:27:05,22.3,114.2,11467,205,11095.0,167.0,"Hong Kong, China",152.95475996493525,1.7877387285253337,0.017877387285253336
Hubei,China,2021-04-01 04:27:05,30.9756,112.2707,68152,4512,63639.0,1.0,"Hubei, China",118.00689621413646,6.620495363305552,0.06620495363305552
Hunan,China,2021-04-01 04:27:05,27.6104,111.7088,1042,4,1033.0,5.0,"Hunan, China",1.5682175224258117,0.3838771593090211,0.003838771593090211
Inner Mongolia,China,2021-04-01 04:27:05,44.0935,113.9448,375,1,368.0,6.0,"Inner Mongolia, China",1.559306345690732,0.2666666666666666,0.0026666666666666666
Jiangsu,China,2021-04-01 04:27:05,32.9711,119.455,710,0,704.0,6.0,"Jiangsu, China",0.8377777244956389,0.0,0.0
Jiangxi,China,2021-04-01 04:27:05,27.614,115.7221,937,1,934.0,2.0,"Jiangxi, China",2.073530213957558,0.1067235859124866,0.0010672358591248667
Jilin,China,2021-04-01 04:27:05,43.6661,126.1923,573,3,570.0,0.0,"Jilin, China",2.38021525204548,0.5235602094240838,0.005235602094240838
Liaoning,China,2021-04-01 04:27:05,41.2956,122.6085,407,2,405.0,0.0,"Liaoning, China",0.9555918169127402,0.4914004914004914,0.004914004914004914
Macau,China,2021-04-01 04:27:05,22.1667,113.55,48,0,48.0,0.0,"Macau, China",7.392098462751524,0.0,0.0
Ningxia,China,2021-04-01 04:27:05,37.2692,106.1655,75,0,75.0,0.0,"Ningxia, China",1.041282838242681,0.0,0.0
Qinghai,China,2021-04-01 04:27:05,35.7452,95.9956,18,0,18.0,0.0,"Qinghai, China",0.3038509563793255,0.0,0.0
Shaanxi,China,2021-04-01 04:27:05,35.1917,108.8701,567,3,553.0,11.0,"Shaanxi, China",1.4343899778489204,0.5291005291005291,0.005291005291005291
Shandong,China,2021-04-01 04:27:05,36.3427,118.1498,870,7,862.0,1.0,"Shandong, China",0.856911085910921,0.8045977011494253,0.008045977011494253
Shanghai,China,2021-04-01 04:27:05,31.202,121.4491,1885,7,1833.0,45.0,"Shanghai, China",7.5791401957991456,0.3713527851458886,0.003713527851458886
Shanxi,China,2021-04-01 04:27:05,37.5777,112.2922,241,0,240.0,1.0,"Shanxi, China",0.690235566801972,0.0,0.0
Sichuan,China,2021-04-01 04:27:05,30.6171,102.7103,948,3,927.0,18.0,"Sichuan, China",1.1329566993271314,0.3164556962025316,0.0031645569620253164
Tianjin,China,2021-04-01 04:27:05,39.3054,117.323,373,3,358.0,12.0,"Tianjin, China",2.690031428654056,0.8042895442359249,0.00804289544235925
Tibet,China,2021-04-01 04:27:05,31.6927,88.0924,1,0,1.0,0.0,"Tibet, China",0.027411529289219,0.0,0.0
Unknown,China,2021-04-01 04:27:05,,,0,0,1.0,0.0,"Unknown, China",,,
Xinjiang,China,2021-04-01 04:27:05,41.1129,85.2401,980,3,977.0,0.0,"Xinjiang, China",3.7907586333077328,0.3061224489795918,0.003061224489795918
Yunnan,China,2021-04-01 04:27:05,24.974,101.487,247,2,230.0,15.0,"Yunnan, China",0.5232022511168727,0.8097165991902834,0.008097165991902834
Zhejiang,China,2021-04-01 04:27:05,29.1832,120.0934,1323,1,1320.0,2.0,"Zhejiang, China",2.049015676410276,0.0755857898715041,0.0007558578987150416
Amazonas,Colombia,2021-04-01 04:27:05,-1.4429,-71.5724,5858,219,5595.0,44.0,"Amazonas, Colombia",7648.617947747066,3.7384772960054624,0.03738477296005462
Antioquia,Colombia,2021-04-01 04:27:05,7.1986,-75.3412,374623,7016,354364.0,13243.0,"Antioquia, Colombia",5846.996036585651,1.8728161378238923,0.018728161378238923
Arauca,Colombia,2021-04-01 04:27:05,7.0762,-70.7105,5751,173,5450.0,128.0,"Arauca, Colombia",2193.5813619962314,3.008172491740567,0.03008172491740567
Atlantico,Colombia,2021-04-01 04:27:05,10.6966,-74.8741,151635,4494,137149.0,9992.0,"Atlantico, Colombia",5980.437125840607,2.9636957166880995,0.029636957166880997
Bolivar,Colombia,2021-04-01 04:27:05,8.6704,-74.03,69563,1409,67543.0,611.0,"Bolivar, Colombia",3360.3528314920463,2.025502062878254,0.020255020628782542
Boyaca,Colombia,2021-04-01 04:27:05,5.4545,-73.362,48119,1154,46147.0,818.0,"Boyaca, Colombia",3952.681833714481,2.3982210769134853,0.023982210769134853
Caldas,Colombia,2021-04-01 04:27:05,5.2983,-75.2479,49624,1015,47206.0,1403.0,"Caldas, Colombia",4971.074525046206,2.0453812671288087,0.020453812671288086
Capital District,Colombia,2021-04-01 04:27:05,4.711,-74.0721,687382,14409,660006.0,12967.0,"Capital District, Colombia",9273.19905144858,2.0962143320599025,0.020962143320599026
Caqueta,Colombia,2021-04-01 04:27:05,0.8699,-73.8419,17185,649,16328.0,208.0,"Caqueta, Colombia",4280.316521747794,3.776549316264184,0.03776549316264184
Casanare,Colombia,2021-04-01 04:27:05,5.7589,-71.5724,13044,305,12466.0,273.0,"Casanare, Colombia",3101.991895439758,2.338239803741184,0.023382398037411836
Cauca,Colombia,2021-04-01 04:27:05,2.705,-76.82600000000002,28124,775,26847.0,502.0,"Cauca, Colombia",1920.3981186599003,2.755653534347888,0.02755653534347888
Cesar,Colombia,2021-04-01 04:27:05,9.3373,-73.6536,43133,1239,41115.0,779.0,"Cesar, Colombia",3592.69815938043,2.872510606728027,0.028725106067280272
Choco,Colombia,2021-04-01 04:27:05,5.2528,-76.82600000000002,6706,204,6406.0,96.0,"Choco, Colombia",1253.865743251076,3.0420518938264243,0.03042051893826424
Cordoba,Colombia,2021-04-01 04:27:05,8.0493,-75.574,43023,2010,39770.0,1243.0,"Cordoba, Colombia",2410.545147505327,4.671919670873718,0.046719196708737185
Cundinamarca,Colombia,2021-04-01 04:27:05,5.026,-74.03,110923,3066,106522.0,1335.0,"Cundinamarca, Colombia",3799.956150267552,2.764079586740352,0.027640795867403513
Guainia,Colombia,2021-04-01 04:27:05,2.5854,-68.5247,1335,22,1308.0,5.0,"Guainia, Colombia",2774.6601820675896,1.647940074906367,0.01647940074906367
Guaviare,Colombia,2021-04-01 04:27:05,1.0654,-73.2603,2299,40,2251.0,8.0,"Guaviare, Colombia",2777.6770935276136,1.739886907351022,0.017398869073510223
Huila,Colombia,2021-04-01 04:27:05,2.5359,-75.5277,50915,1791,48765.0,359.0,"Huila, Colombia",4627.012702815194,3.5176274182460965,0.03517627418246096
La Guajira,Colombia,2021-04-01 04:27:05,11.3548,-72.5205,17879,665,16841.0,373.0,"La Guajira, Colombia",2030.4124647951303,3.719447396386823,0.03719447396386823
Magdalena,Colombia,2021-04-01 04:27:05,10.4113,-74.4057,43967,1618,40528.0,1821.0,"Magdalena, Colombia",3276.849716712404,3.6800327518366047,0.036800327518366045
Meta,Colombia,2021-04-01 04:27:05,3.272,-73.0877,43742,999,42271.0,472.0,"Meta, Colombia",4207.086124944937,2.2838461890174204,0.022838461890174203
Narino,Colombia,2021-04-01 04:27:05,1.2892,-77.3579,50335,1693,47843.0,799.0,"Narino, Colombia",3086.915672344768,3.363464785934241,0.033634647859342406
Norte de Santander,Colombia,2021-04-01 04:27:05,7.9463,-72.8988,51927,2764,48486.0,677.0,"Norte de Santander, Colombia",3481.087545728365,5.322857087834845,0.05322857087834845
Putumayo,Colombia,2021-04-01 04:27:05,0.436,-75.5277,8204,324,7732.0,148.0,"Putumayo, Colombia",2356.238978465285,3.949293027791321,0.039492930277913216
